id,rated,createdAt,lastMoveAt,turns,victoryStatus,winner,incrementCode,whiteId,whiteRating,blackId,blackRating,moves,openingEco,openingName,openingPly
005lW0Xz,FALSE,1504026099225,1504026471064,37,resign,white,10+5,sosobanane,1500,janaletro,1479,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Bc4 Bg7 Bg5 O-O Qd2 Nc6 Nb3 Ng4 f3 Nge5 Bd5 Nb4 Bh6 Bxh6 Qxh6 Nxc2+ Kd2 Nxa1 Rxa1 e6 Bxe6 Bxe6 Nd4 Nc4+ Kc2 Rc8 f4,B70,Sicilian Defense: Dragon Variation,10
009mKOEz,TRUE,1503502070824,1503502358761,36,resign,black,8+0,maharnav,1890,agvega14,1838,d4 d5 c4 e6 Nf3 Nf6 e3 Nbd7 Qc2 c6 b3 Bd6 Bb2 O-O Nbd2 Qe7 Bd3 e5 dxe5 Nxe5 Nxe5 Bxe5 Bxe5 Qxe5 O-O Bg4 cxd5 cxd5 h3 Rac8 Qb1 Bh5 Re1 Qc3 Qc1 Qxd3,D30,Queen's Gambit Declined,4
00dSgZj7,TRUE,1.42223E+12,1.42223E+12,114,resign,black,8+0,alex945,1689,raesremmurd,2201,e4 c5 Bc4 Nc6 Nf3 d6 d4 cxd4 Nxd4 g6 Nxc6 bxc6 Qf3 Nf6 e5 Nd5 Bxd5 cxd5 Qxd5 Be6 Qc6+ Bd7 Qb7 Bg7 exd6 exd6 O-O O-O Bf4 Rb8 Qxa7 Bxb2 Nd2 Bxa1 Rxa1 Bf5 c4 Qb6 Qxb6 Rxb6 Nb3 Be6 c5 dxc5 Nxc5 Rb4 Bd6 Re8 Nxe6 Re4 g3 R4xe6 Bf4 Re1+ Rxe1 Rxe1+ Kg2 Ra1 Kf3 Rxa2 Kg4 Kg7 Be5+ f6 Bd4 Kf7 Kf3 Ra3+ Ke4 Ra4 Kd5 f5 h4 Ra5+ Kc6 Ke6 Be3 h5 Kb6 Re5 Kc6 Re4 Kc5 Kf6 Kd5 Re5+ Kd4 Ke6 Bf4 Re4+ Kd3 Kd5 Be3 Ke5 Ba7 Ra4 Be3 Ra3+ Kc4 Ke4 Kc5 Rxe3 fxe3 Kxe3 Kd5 Kf3 Ke5 Kxg3 Kf6 Kxh4 Kxg6 f4 Kf5 f3,B20,Sicilian Defense: Bowdler Attack,3
00R4UOcU,TRUE,1.5037E+12,1.5037E+12,54,mate,black,20+5,aminox,1207,oldpaths,1588,e4 e6 d4 d5 e5 c5 dxc5 Bxc5 Nf3 Nc6 c3 Qc7 b4 Bb6 Na3 a6 Qa4 Bd7 b5 Nxe5 Bf4 Nd3+ Bxd3 Qxc3+ Ke2 Qb2+ Bc2 Ne7 Rhb1 Qf6 Be5 Qh6 Qg4 Ng6 Bd4 e5 Qg5 exd4 Qxd5 Nf4+ Kf1 Nxd5 Re1+ Kd8 Ne5 Qf4 g3 Qf6 Nxd7 Kxd7 Red1 d3 Rxd3 Qxf2#,C02,French Defense: Advance |  Steinitz Variation,7
018JyEeA,TRUE,1432626725046,1432627495128,47,mate,white,20+10,hassan1365416,1568,tabrizbest1,1561,e4 e5 Nf3 d5 exd5 Qxd5 Nc3 Qe6 a3 a6 h3 Bd7 Bd3 Bc6 O-O Nf6 Nxe5 Be7 Re1 Qd6 Bc4 Nbd7 Nxf7 Qc5 d3 Rf8 Be3 Qh5 Qxh5 Nxh5 Ng5 h6 Ne6 Nhf6 Nxc7+ Kd8 Nxa8 b5 Bb3 Bxa8 Be6 Nb8 Bg4 b4 axb4 Bxb4 Bb6#,C40,Elephant Gambit,4
019hqIVd,TRUE,1405770394188,1405771237756,29,outoftime,white,5+8,f1984b,1418,voodooo,1330,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Nc6 Nf3 Qe6 d4 Nf6 Bg5 Nb4 O-O Ng4 Re1 Qd6 h3 f6 Ne4 Qc6 Bd2 Bf5 Bxb4 Bxe4 hxg4 Bxc2 Qc1,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
01C2scaa,FALSE,1493550208579,1493550599670,75,mate,white,15+0,amateur07,1500,die_uhr,1801,d4 Nf6 c4 e6 Nf3 b6 Bg5 Be7 Nc3 Bb7 e4 Nxe4 Bxe7 Qxe7 Nxe4 Bxe4 Bd3 Bxf3 Qxf3 O-O Qxa8 Nc6 Qb7 d6 Qxc6 f5 O-O Rf6 Rfe1 a5 Re3 f4 Re4 Qf7 Qa8+ Qf8 Qxf8+ Kxf8 Rae1 Kf7 d5 e5 R4e2 h5 f3 g5 a3 h4 b4 a4 b5 Rh6 Bc2 Rh8 Bxa4 Ra8 Bb3 Rxa3 Rb1 Kf6 Ra2 Rxa2 Bxa2 Kf5 Ra1 g4 Bb1+ Kg5 fxg4 Kxg4 h3+ Kg3 Ra3+ f3 Rxf3#,E12,Queen's Indian Defense,6
01dkNQ2O,FALSE,1504441563045,1504441566477,1,outoftime,white,20+10,jerusseust,2438,palermagno,1666,e4,B00,King's Pawn,1
01K0joz0,TRUE,1.49887E+12,1.49887E+12,95,mate,white,10+0,timequake,1203,mccheese,894,d4 d5 e3 Nf6 f4 Bg4 Bd3 Bxd1 Kxd1 Nc6 Nf3 h6 Bd2 a5 Nc3 g5 fxg5 hxg5 Nxg5 Bh6 Nf3 Ng4 Be1 Qd7 Ne5 Qf5 Bxf5 Ngxe5 dxe5 Nxe5 Nxd5 c6 Nc7+ Kd8 Nxa8 Rg8 Rg1 Nc4 b3 Nxe3+ Ke2 Nxf5 Bxa5+ Kd7 Bd2 Rxa8 Bxh6 Nxh6 Raf1 Rxa2 Ra1 Rxc2+ Kd1 Rc5 Ke2 Rf5 Rgd1+ Ke6 Rf1 Re5+ Kd1 Ng4 h3 Ne3+ Ke2 b5 Rf3 Nxg2+ Kf2 Ne3 Rxe3 Rxe3 Kxe3 f6 Rh1 f5 h4 Kf6 h5 Kg5 h6 Kg6 h7 c5 h8=Q c4 Qh6+ Kf7 bxc4 bxc4 Qf4 c3 Qxf5+ Ke8 Rh8#,D00,Queen's Pawn Game #3,4
01pjlD76,TRUE,1.48262E+12,1.48262E+12,60,resign,black,10+0,piley159,1156,yomoime,1442,d4 d5 c4 dxc4 Nc3 e6 Nf3 Bb4 g3 Nf6 Bh3 Bxc3+ bxc3 Ne4 Bb2 Nc6 O-O e5 dxe5 Bxh3 Re1 g5 g4 Bxg4 Qa4 Bxf3 exf3 g4 fxe4 g3 fxg3 h5 e6 fxe6 e5 Kf8 Ba3+ Kg8 Qxc4 Rh6 h4 Kh7 Bc1 Rg6 g4 Rxg4+ Kf2 Rxc4 Rg1 Qxh4+ Kf1 Qh3+ Ke1 Qxc3+ Kd1 Qxa1 Rg5 Qxc1+ Ke2 Qxg5,D20,Queen's Gambit Accepted,4
